,Perundangan1,Perundangan2,Topic1,Topic2
59,PP_27_1985,Peraturan_Pemerintah_No.28_Tahun_1984,perintah perintah republik indonesia,tetap atur perintah republik indonesia alih bentuk usaha negara tambang batubara usaha perum
60,Peraturan_Pemerintah_No.54_Tahun_1993,Peraturan_Pemerintah_No.75_Tahun_1992,atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt len industri,tetap atur perintah republik indonesia serta modal negara republik indonesia diri usaha asuransi investasi kredit ekspor
61,Peraturan_Pemerintah_No.33_Tahun_1993,Peraturan_Pemerintah_No.75_Tahun_1992,tetap atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt pt pal indonesia,tetap atur perintah republik indonesia serta modal negara republik indonesia diri usaha asuransi investasi kredit ekspor
62,Peraturan_Pemerintah_No.33_Tahun_1993,Peraturan_Pemerintah_No.54_Tahun_1993,tetap atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt pt pal indonesia,atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt len industri
63,Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.75_Tahun_1992,atur perintah tambah serta modal negara republik indonesia modal saham usaha persero persero pt danareksa,tetap atur perintah republik indonesia serta modal negara republik indonesia diri usaha asuransi investasi kredit ekspor
64,Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.54_Tahun_1993,atur perintah tambah serta modal negara republik indonesia modal saham usaha persero persero pt danareksa,atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt len industri
65,Peraturan_Pemerintah_No.40_Tahun_2000,Peraturan_Pemerintah_No.33_Tahun_1993,atur perintah tambah serta modal negara republik indonesia modal saham usaha persero persero pt danareksa,tetap atur perintah republik indonesia tambah serta modal negara republik indonesia modal saham usaha persero persero pt pt pal indonesia
66,Salinan Perpres Nomor 71 Tahun 2019,Peraturan_Presiden_No.71_Tahun_2019,menteri koordinator bidang maritim,menteri koordinator bidang maritim
67,Keppres0541993,PERPRES_49_2011,usaha tutup tanam modal,kesah asean comprehensive investment agreement tuju tanam modal asean ditandatangani cha am thailand tanggal 26 februari 2009 naskah asli bahasa inggris terjemah bahasa indonesia lampir pisah
68,Keputusan_Presiden_No.121_Tahun_1999,Keppres0541993,laksana nilai mohon tanam modal negeri pmdn tanam modal asing pma sektor industri,usaha tutup tanam modal
